Geography,Your estimated revenue (USD),Watch time (hours),Views,Average view duration
Total,4.813,107.1345,9942,0:00:38
MX,0.399,18.8953,1870,0:00:36
FR,0.297,8.9555,425,0:01:15
US,0.833,7.4911,281,0:01:35
ES,0.318,6.369,775,0:00:29
CZ,0.208,6.304,399,0:00:56
IT,0.258,5.2689,937,0:00:20
GB,0.18,3.9057,332,0:00:42
SE,0.295,3.5923,350,0:00:36
KR,0.15,3.3899,253,0:00:48
DE,0.203,3.3037,305,0:00:38
AU,0.196,3.1226,176,0:01:03
AT,0.383,2.853,371,0:00:27
IL,0.11,2.5149,271,0:00:33
CH,0.258,2.2936,250,0:00:33
CA,0.125,2.097,179,0:00:42
SG,0.092,2.0726,109,0:01:08
NO,0.093,1.1692,46,0:01:31
PT,0.034,1.135,239,0:00:17
HK,0.061,1.0023,117,0:00:30
PH,0.003,0.4217,14,0:01:48
IN,0.071,0.331,19,0:01:02
DK,0.003,0.3245,28,0:00:41
NL,0.039,0.2665,24,0:00:39
IE,0.011,0.2122,45,0:00:16
NZ,0.005,0.155,20,0:00:27
ID,0.002,0.1123,11,0:00:36
IS,0.003,0.0792,19,0:00:14
BE,0.003,0.0423,10,0:00:15
BF,0,0.035,10,0:00:12
AE,0.003,0,0,
AR,0.015,0,0,
BG,0.013,0,0,
BR,0.001,0,0,
CO,0.021,0,0,
EG,0.002,0,0,
FI,0.004,0,0,
GE,0.008,0,0,
HR,0.005,0,0,
HU,0.001,0,0,
JO,0.006,0,0,
JP,0.011,0,0,
LT,0,0,0,
MA,0.008,0,0,
OM,0.003,0,0,
PE,0.016,0,0,
PK,0.001,0,0,
PL,0.006,0,0,
RO,0.005,0,0,
RU,0.002,0,0,
TH,0.015,0,0,
TR,0.031,0,0,
TW,0,0,0,
UA,0.001,0,0,
ZA,0.003,0,0,
