Geography,Your estimated revenue (USD),Watch time (hours),Views,Average view duration
Total,11.736,215.7289,15240,0:00:50
US,4.734,33.7432,1138,0:01:46
MX,0.585,29.9901,3269,0:00:33
FR,0.335,9.7377,464,0:01:15
KR,0.264,8.7066,514,0:01:00
IT,0.387,8.1336,1029,0:00:28
CZ,0.222,7.1931,487,0:00:53
ES,0.361,6.5619,795,0:00:29
GB,0.378,6.2598,442,0:00:50
AU,0.421,6.0337,289,0:01:15
CA,0.424,5.8824,393,0:00:53
SE,0.43,5.47,515,0:00:38
DE,0.346,5.3343,411,0:00:46
IL,0.143,4.238,400,0:00:38
CH,0.507,3.9732,364,0:00:39
SG,0.122,3.5065,168,0:01:15
PH,0.023,3.0432,89,0:02:03
AT,0.455,2.9745,387,0:00:27
BR,0.064,1.9323,46,0:02:31
ID,0.027,1.7981,69,0:01:33
HK,0.063,1.4255,145,0:00:35
PT,0.074,1.2318,252,0:00:17
NO,0.118,1.1692,46,0:01:31
IN,0.764,1.1399,56,0:01:13
JP,0.068,1.1239,42,0:01:36
NL,0.078,0.6457,65,0:00:35
PL,0.013,0.3553,12,0:01:46
DK,0.003,0.3245,28,0:00:41
IE,0.023,0.2122,45,0:00:16
NZ,0.027,0.155,20,0:00:27
IS,0.004,0.0792,19,0:00:14
BE,0.009,0.0423,10,0:00:15
BF,0,0.035,10,0:00:12
AE,0.007,0,0,
AR,0.016,0,0,
BG,0.014,0,0,
CL,0.008,0,0,
CO,0.024,0,0,
EC,0.001,0,0,
EE,0,0,0,
EG,0.003,0,0,
FI,0.004,0,0,
GE,0.013,0,0,
GH,0.003,0,0,
HR,0.005,0,0,
HU,0.006,0,0,
IQ,0.002,0,0,
JO,0.006,0,0,
KE,0,0,0,
LT,0,0,0,
MA,0.008,0,0,
MK,0,0,0,
MY,0.021,0,0,
NG,0.002,0,0,
NI,0.001,0,0,
OM,0.003,0,0,
PA,0.001,0,0,
PE,0.016,0,0,
PK,0.001,0,0,
PR,0.004,0,0,
RO,0.008,0,0,
RU,0.007,0,0,
SA,0.001,0,0,
SI,0.001,0,0,
TH,0.024,0,0,
TR,0.037,0,0,
TW,0.004,0,0,
UA,0.004,0,0,
VN,0.002,0,0,
ZA,0.008,0,0,
